Acacia,Tipo,Hormiga,aranared,aranarefugio,telared,telarefugio,Orbicular,Refugio,Total
3,Mutualista,Flavicornis,0,0,0,0,0,0,0
4,Mutualista,Flavicornis,0,0,0,0,0,0,0
6,Mutualista,Spinicola,1,0,1,0,2,0,2
8,Mutualista,Spinicola,6,1,0,1,6,2,8
10,Mutualista,Spinicola,2,1,3,6,5,7,12
11,Mutualista,Spinicola,0,0,0,0,0,0,0
12,Mutualista,Flavicornis,1,3,1,2,2,5,7
13,Mutualista,Flavicornis,0,0,1,3,1,3,4
15,Mutualista,Flavicornis,1,0,0,0,1,0,1
24,Mutualista,Spinicola,0,0,1,0,1,0,1
34,Mutualista,Flavicornis,0,1,1,0,1,1,2
35,Mutualista,Flavicornis,0,0,1,2,1,2,3
36,Mutualista,Spinicola,1,0,1,0,2,0,2
40,Mutualista,Spinicola,1,0,0,0,1,0,1
